# GRB    Trigger Time    Redshift    RA    DEC    Error    
#             (s)            z      (deg) (deg)   (deg)    
 140810A      429389173.09      777.0      119.04       27.55       0.12 
 140729A      428287016.71      777.0      195.95       15.35       5.0 
 140723A      427772193.73      777.0      210.63       -3.73       0.35 
 140619B      424869883.51      777.0      132.68       -9.66       0.06 
 140523A      422507160      777.0      133.3       24.95       0.4 
 140402A      418090210      777.0      207.46       5.87       0.14 
 140329A      417769481.33      777.0      145.698       -32.229       0.2 
 140323A      417262994.9      777.0      356.95962       -79.90455       4.44e-4 
 140219A      414531995      777.0      156.44       7.46       5.0 
 140206B      413361375      777.0      315.26       -8.51       0.23 
 140110A      411027520.94      777.0      28.9       -36.26       0.50 
 140104B      410549526.15      777.0      218.81       -8.9       0.22 
 140102A      410390260.64      777.0      211.91939       1.33329       1.4e-4 
 131231A      410157919.08      777.0      10.590271       -1.6529472       8.3e-5 
 131216A      408851795.06      777.0      91.59       -35.5       2.7 
 131209A      408287279.97      777.0      136.5       -33.2       0.9 
 131108A      405636118      777.0      156.50179       9.6624722       4.44e-4 
 131029A      404781651      777.0      200.785       48.298       0.26 
 131018B      403805322      777.0      304.41       23.11       0.13 
 131014A      403420143      777.0      100.5       -19.1       0.45 
 130907A      400282942      777.0      215.89183       45.60753       1.39e-4 
 130828A      399367203      777.0      259.797       28.2155       0.26457 
 130821A      398794231      777.0      314.1       -12       0.1 
 130702A      394416326      777.0      217.31158       15.774       0 
 130606B      392212536      777.0      218.574       -22.131       0.1 
 130518A      390578080      777.0      355.671       47.478       0.05 
 130504C      389402940      777.0      91.6304       3.8338889       0.06 
 130502B      389173874      777.0      66.76175       71.0607       -- 
 130427A      388741629      777.0      173.136       27.7129       0.0013 
 130327B      386065447      777.0      217.87487       -69.403444       1.14e-3 
 130325A      385879917      777.0      122.78       -18.9       0.25 
 130310A      384638984      777.0      142.34       -17.23       0.45 
 130305A      384176354      777.0      116.765       52.025       0.0583 
 130228A      383712005      777.0      255.46       55.02       0.5 
 130206A      381872193      777.0      140.375       -58.16       0.05 
 121225B      378122456      777.0      310.45       -34.83       1.5 
 121011A      371646928      777.0      260.2       41.137       0.0001 
 120916A      369461323      777.0      205.81       36.66       0.3 
 120911B      369037578      777.0      172.03       -37.51       0.3 
 120830A      368003226      777.0      88.5027       -28.70178       1.52e-4 
 120711A      363667496      777.0      94.69       -71       0.044 
 120709A      363561103      777.0      318.4       -50.1       0.46 
 120624B      362269436      777.0      170.87363       8.9246389       -- 
 120328B      354608782      777.0      228.14       22.8       1.0 
 120316A      353549464      777.0      57.016       -56.288       0.584 
 120226A      351982459      777.0      302.93       48.665       6.01 
 120107A      347620337      777.0      246.4       -69.93       0.5 
 110731A      333803371      777.0      280.504       -28.537       1e-4 
 110721A      332916465      777.0      333.2       -38.5       0.2 
 110709A      331917869      777.0      238.895       40.918       3e-4 
 110625A      330728900      777.0      286.73       6.755       1e-4 
 110529A      328322924      777.0      118.33       67.91       3.35 
 110428A      325675112      777.0      5.59       64.849       1.11e-5 
 110328B      323008161      777.0      121.06       45.84       3.23 
 110120A      317231981      777.0      61.5       -12       0.36 
 101123A      312245496      777.0      135.16       1.91       3.6 
 101014A      308722314      777.0      27.206       -50.819       1.0 
 100826A      304556304      777.0      279.593       -22.128       1.20 
 100728A      301976252      777.0      88.758       -15.255       1.0e-4 
 100724B      301624927      777.0      119.599       75.8562       0.88 
 100620A      298695091      777.0      86.98       -50.96       0.71 
 100414A      292904423      777.0      192.112       8.69172       0.0005 
 100325A      291191770      777.0      330.24       -26.47       0.9 
 100225A      288758733      777.0      310.3       -59.4       0.9 
 100116A      285370262      777.0      305.01       14.43       0.17 
 091208B      281958599      777.0      29.392       16.8899       0.0006 
 091031A      278683230      777.0      71.4       -57.7       0.24 
 091003A      276237347      777.0      251.52       36.6247       0.00047 
 090926A      275631628      777.0      353.401       -66.3239       0.0004167 
 090902B      273582310      777.0      264.939       27.3245       0.0005 
 090720B      269802178      777.0      203.68054       -10.334694       1.39e-4 
 090626A      267683530      777.0      170.01       -33.5       0.32 
 090531B      265487758      777.0      252.06       -36.05       3.5e-2 
 090510A      263607781      777.0      333.553       -26.584111       0.0001 
 090328A      259925808      777.0      90.665292       -41.881611       6.94e-4 
 090323A      259459364      777.0      190.70955       17.053306       1.39e-5 
 090227B      257452263      777.0      10.48       29.24       1.00 
 090217A      256539404      777.0      204.83       -8.42       0.35 
 081024B      246576161      777.0      322.95       21.2       0.22 
 081006A      244996175      777.0      136.43       -62.1       0.52 
 080916C      243216766      777.0      119.84717       -56.638333       1.39e-4 
 080825C      241366429      777.0      233.95       -4.55       0.77 
